Frame	Time	Label	Caption	LLM
0		work	a close up of a person holding a remote control in a factory	
64	2.13	work	arafed man working on a computer with a small machine	
128	4.27	work	arafed man working on a motorcycle in a factory	
192	6.40	work	arafed image of a man working on a computer motherboard	
257	8.57	work	there is a man working on a computer that is on a table	
321	10.70	work	there is a man that is working on a computer in a factory	
385	12.83	idle	arafed man in a factory with a machine in the background	
450	15.00	idle	arafed man in a factory with a laptop and a pair of gloves	
514	17.13	idle	there is a computer monitor sitting on a desk with a mouse	
578	19.27	work	arafed worker working on a computer in a factory	
643	21.43	work	arafed worker in a factory working on a computer screen	
707	23.57	work	arafed man in a blue shirt working on two computer monitors	
771	25.70	work	arafed worker in a factory working on a piece of equipment	
835	27.83	idle	arafed man in a factory with a machine and a box	
900	30.00	idle	arafed man standing in a factory with a lot of machines	
964	32.13	idle	arafed man in a factory with a laptop and a phone	
1028	34.27	work	arafed man in a blue shirt holding a bag of plastic	
1093	36.43	idle	arafed man in a blue shirt is looking at a computer screen	
1157	38.57	idle	arafed man standing in a factory with a lot of electronics	
1221	40.70	work	arafed man in a blue shirt and protective mask working on a machine	
1286	42.87	work	arafed man in a factory working on a computer monitor	
1350	45.00	idle	arafed man in a factory looking at a monitor and a cell phone	
1414	47.13	idle	arafed man standing in a factory with a lot of machines	
1478	49.27	idle	arafed man in a blue shirt and mask standing in a factory	
1543	51.43	idle	arafed man standing in a factory with a lot of electronics	
1607	53.57	work	arafed man working in a factory with a lot of electronics	
1671	55.70	work	workers in a factory working on a computer screen	
1736	57.87	work	arafed worker in a factory cutting a piece of green apple	
1800	60.00	work	arafed worker in a factory checking a box with a face mask	
1864	62.13	work	arafed worker in a factory working on a laptop computer	
